name	tld	iso
American Samoa	.as	as
Andorra	.ad	ad
Australian Indian Ocean Territories		
Azores		
Bonaire, Saint Eustatius and Saba	.bq	bq
Bouvet Island	.bv	bv
British Indian Ocean Territory	.io	io
Central African Republic	.cf	cf
Chad	.td	td
Comoros	.km	km
Curaçao	.cw	cw
Djibouti	.dj	dj
England		
Equatorial Guinea	.gq	gq
Eritrea	.er	er
Federated States of Micronesia	.fm	fm
French Guiana	.gf	gf
Gabon	.ga	ga
Guadeloupe	.gp	gp
Guinea-Bissau	.gw	gw
Kosovo	.xk	xk
Lesotho	.ls	ls
Liberia	.lr	lr
Madeira		
Marshall Islands	.mh	mh
Martinique	.mq	mq
Mayotte		yt
Montserrat	.ms	ms
Niue	.nu	nu
Northern Ireland		
Palau	.pw	pw
Pitcairn Islands	.pn	pn
Saint Barthélemy		bl
Saint Martin		mf
Saint Pierre and Miquelon	.pm	pm
Samoa	.ws	ws
Scotland		
Sierra Leone	.sl	sl
Sint Maarten	.sx	sx
Suriname	.sr	sr
Tokelau	.tk	tk
Tuvalu	.tv	tv
United States Minor Outlying Islands	.um	um
United States Virgin Islands	.vi	vi
Wales		
Wallis and Futuna	.wf	wf
Western Sahara	.eh	eh